product_category_name,total_revenue,units_sold,avg_order_value,revenue_pct,cum_revenue_pct,ABC_class
beleza_saude,1258681.34,9670,130.16353050672183,9.38466421970663,9.384664219706629,A
relogios_presentes,1205005.68,5991,201.13598397596394,8.984461221645866,18.369125441352494,A
cama_mesa_banho,1036988.68,11115,93.29632748538012,7.731734992938569,26.10086043429106,A
esporte_lazer,988048.97,8641,114.34428538363615,7.366842997828973,33.46770343212003,A
informatica_acessorios,911954.32,7827,116.51390315574294,6.79948514761559,40.267188579735624,A
moveis_decoracao,729762.49,8334,87.56449364050876,5.441072105499726,45.70826068523535,A
cool_stuff,635290.85,3796,167.357968914647,4.73669635008811,50.444957035323455,A
utilidades_domesticas,632248.66,6964,90.78814761631247,4.714013935774612,55.15897097109808,A
automotivo,592720.11,4235,139.9575230224321,4.419291072208616,59.57826204330669,A
ferramentas_jardim,485256.46,4347,111.63019553715206,3.618047549305451,63.196309592612145,A
brinquedos,483946.6,4117,117.54836045664318,3.6082812995930134,66.80459089220516,A
bebes,411764.89,3065,134.34417292006526,3.07009813152107,69.87468902372622,A
perfumaria,399124.87,3419,116.73731207955542,2.975854783613508,72.85054380733973,A
telefonia,323667.52999999997,4545,71.21397799779977,2.4132486844301844,75.2637924917699,A
moveis_escritorio,273960.7,1691,162.0110585452395,2.04263708151563,77.30642957328553,A
papelaria,230943.23,2517,91.75336909018674,1.721901007418191,79.02833058070372,A
pcs,222963.13,203,1098.3405418719212,1.662401786638704,80.69073236734243,B
pet_shop,214315.41,1947,110.0746841294299,1.5979248250067457,82.28865719234918,B
instrumentos_musicais,191498.88,680,281.616,1.4278059347808347,83.71646312713003,B
eletroportateis,190648.58,679,280.7784683357879,1.4214661411154923,85.13792926824551,B
eletronicos,160246.74,2767,57.913530899891576,1.1947915643228897,86.3327208325684,B
consoles_games,157465.22,1137,138.49183817062445,1.1740526923059278,87.50677352487433,B
fashion_bolsas_e_acessorios,152823.54,2031,75.24546528803546,1.1394445616925608,88.64621808656689,B
construcao_ferramentas_construcao,144677.59,929,155.7347578040904,1.0787087717264368,89.72492685829333,B
malas_acessorios,140429.98,1092,128.5988827838828,1.0470388070423906,90.77196566533571,B
eletrodomesticos_2,113317.74,238,476.1249579831933,0.844891320972486,91.6168569863082,B
casa_construcao,83088.12,604,137.56311258278146,0.6195008077633778,92.23635779407158,B
eletrodomesticos,80171.53,771,103.98382619974059,0.5977548606783482,92.83411265474993,B
agro_industria_e_comercio,72530.47,212,342.12485849056606,0.5407835049397849,93.37489615968971,B
moveis_sala,68916.56,503,137.0110536779324,0.5138383753089285,93.88873453499865,B
telefonia_fixa,59583.0,264,225.6931818181818,0.44424782542877783,94.33298236042742,B
casa_conforto,58572.04,434,134.95861751152074,0.4367101589535168,94.76969251938094,B
climatizacao,55024.96,297,185.26922558922558,0.41026331041245795,95.1799558297934,C
audio,50688.5,364,139.25412087912088,0.3779308846356612,95.55788671442906,C
portateis_casa_forno_e_cafe,47445.71,76,624.2856578947368,0.3537528068983505,95.91163952132742,C
livros_interesse_geral,46856.88,553,84.73215189873417,0.3493625202889614,96.26100204161638,C
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,281,164.8696441281139,0.3454219765396141,96.60642401815599,C
construcao_ferramentas_iluminacao,41080.0,304,135.1315789473684,0.3062903960628735,96.91271441421885,C
construcao_ferramentas_seguranca,40544.52,194,208.9923711340206,0.3022978843471055,97.21501229856597,C
industria_comercio_e_negocios,39669.61,268,148.0209328358209,0.2957745997701979,97.51078689833615,C
alimentos,29393.41,510,57.63413725490196,0.21915577386899776,97.72994267220515,C
market_place,28378.47,311,91.2490996784566,0.21158843271563715,97.9415311049208,C
construcao_ferramentas_jardim,25715.89,238,108.04995798319328,0.19173637130499727,98.13326747622581,C
artes,24202.64,209,115.8021052631579,0.18045365607028105,98.31372113229608,C
fashion_calcados,23562.77,262,89.93423664122137,0.1756828178100875,98.48940395010617,C
bebidas,22428.7,379,59.178627968337736,0.16722724942004313,98.65663119952622,C
sinalizacao_e_seguranca,21509.23,199,108.08658291457286,0.16037172774360858,98.81700292726983,C
moveis_quarto,20028.78,109,183.75027522935778,0.14933356764498928,98.96633649491481,C
livros_tecnicos,19096.06,267,71.52082397003745,0.14237925464071072,99.10871574955551,C
construcao_ferramentas_ferramentas,15903.95,103,154.40728155339806,0.11857904441246682,99.22729479396799,C
alimentos_bebidas,15179.48,278,54.602446043165465,0.11317743284392567,99.34047222681191,C
fashion_roupa_masculina,10797.82,132,81.80166666666666,0.08050799816006857,99.42098022497198,C
fashion_underwear_e_moda_praia,9541.55,131,72.83625954198473,0.07114131276907766,99.49212153774106,C
artigos_de_natal,8800.82,153,57.52169934640523,0.06561846746538604,99.55774000520645,C
tablets_impressao_imagem,7528.41,83,90.70373493975903,0.05613144305315719,99.61387144825962,C
cine_foto,6933.46,72,96.29805555555555,0.05169552603422812,99.66556697429385,C
musica,6034.35,38,158.79868421052632,0.0449918074849562,99.7105587817788,C
dvds_blu_ray,5999.39,64,93.74046875,0.04473114749843337,99.75528992927724,C
livros_importados,4639.85,60,77.33083333333335,0.03459448622620068,99.78988441550344,C
artigos_de_festas,4485.18,43,104.30651162790699,0.03344127455241673,99.82332569005585,C
moveis_colchao_e_estofado,4368.08,38,114.94947368421053,0.03256818289275357,99.85589387294861,C
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15,264.5686666666667,0.02958915836142637,99.88548303131003,C
fashion_roupa_feminina,2803.64,48,58.409166666666664,0.02090379761484213,99.90638682892488,C
fashion_esporte,2119.51,30,70.65033333333334,0.015802959039903145,99.92218978796478,C
la_cuisine,2054.99,14,146.785,0.015321901192922208,99.9375116891577,C
artes_e_artesanato,1814.01,24,75.58375,0.013525166537536834,99.95103685569524,C
fraldas_higiene,1567.59,39,40.19461538461538,0.011687871518115869,99.96272472721334,C
pc_gamer,1545.95,9,171.77222222222224,0.011526524775886058,99.97425125198923,C
flores,1110.04,33,33.63757575757575,0.008276401929056282,99.98252765391827,C
casa_conforto_2,760.27,30,25.342333333333332,0.0056685345524518215,99.98819618847072,C
cds_dvds_musicais,730.0,14,52.142857142857146,0.005442842968011141,99.99363903143875,C
fashion_roupa_infanto_juvenil,569.85,8,71.23125,0.004248772692220752,99.99788780413095,C
seguros_e_servicos,283.28999999999996,2,141.64499999999998,0.0021121958690518846,100.0,C
